1974    NC Law    NC Bicycle and Bikeway Act  North Carolina established the first state bicycle program in the nation. http://www.ncdot.gov/bikeped/lawspolicies/
1987    NC Program  Share the Road  Installs reflective "Share the Road" street signs along designated regional and local bike paths.   http://www.ncdot.gov/bikeped/safetyeducation/signing/
2000    NC Policy   Resolution on Mainstreaming Resolution to make biking and walking a critical part of the state's transportation system. http://www.ncdot.gov/bikeped/lawspolicies/policies/
2001    NC Law    Child Bicycle Safety Act    Requires every person under 16 years old to wear a helmet.    http://www.ncdot.gov/bikeped/lawspolicies/laws/
2007    NC Program  Bicycle Helmet Initiative   Distributes helmets to low-income youth.    http://www.ncdot.gov/bikeped/safetyeducation/helmet_initiative/
2009    NC Policy   Complete Street Policy  Requires planners and designers to consider and incorporate multimodal alternatives in the design and improvement of all transportation projects.   http://www.ncdot.gov/bikeped/lawspolicies/policies/
2012    NC Program  Watch for Me NC Campaign for cyclist and pedestrian safety.    http://www.watchformenc.org/
