City,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Dobson,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
Dover,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Drexel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Duck,0,0,0,0,0,0,7,0,2,0,1,1,2,0,5,2,20
Dudley,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
Dunn,1,8,4,5,5,2,3,4,2,5,2,4,0,1,2,3,51
Durham,27,36,25,25,22,15,26,26,31,35,41,35,37,35,39,48,503
East Bend,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
East Laurinburg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
East Spencer,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Eastover,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
Eden,3,0,2,3,2,2,2,3,3,5,6,2,1,2,0,1,37
Edenton,1,2,0,2,2,3,0,0,1,1,0,2,2,0,1,0,17
Elizabeth City,10,12,21,9,0,4,6,3,4,2,9,3,9,2,2,3,99
Elizabethtown,0,1,0,0,2,0,0,3,3,0,0,0,1,0,0,1,11
Elkin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ellerbe,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,4
Elm City,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Elon College,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,7
Emerald Isle,2,0,3,1,1,4,0,0,0,1,6,2,4,3,2,3,32
Enfield,3,2,4,1,5,3,2,1,0,0,1,4,1,1,0,2,30
Erwin,0,0,0,0,1,0,2,0,0,0,2,0,2,1,0,0,8
Everetts,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fairmont,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Fairview,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Faith,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Farmville,1,2,3,0,0,2,0,0,1,1,2,0,0,2,0,2,16
Fayetteville,29,27,31,25,23,32,30,21,18,38,33,36,23,28,25,26,445
Fletcher,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3
Forest City,1,5,0,1,1,0,0,0,1,1,0,2,1,2,0,0,15
Fort Bragg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Franklinton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Franklinville,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Fremont,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fuquay-Varina,2,0,2,0,1,1,0,1,2,0,0,4,0,1,1,0,15
Garland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
