City,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Walkertown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
Wallace,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,7
Warrenton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Warsaw,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,6
Washington,3,5,6,4,7,6,6,12,10,8,5,3,5,2,3,3,88
Washington Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Waxhaw,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5
Waynesville,0,0,0,0,0,1,0,0,1,2,1,2,0,0,1,1,9
Weaverville,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3
Weddington,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,2,8
Weldon,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,6
Wendell,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,5
Wentworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Wesley Chapel,0,0,0,0,0,1,0,0,0,1,0,2,0,1,3,0,8
West Jefferson,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Whitakers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
White Lake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Whiteville,3,2,2,2,2,2,3,0,1,4,1,2,1,2,1,2,30
Whitsett,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Wilkesboro,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5
Williamston,2,3,1,0,2,0,1,0,2,1,0,1,0,3,0,2,18
Wilmington,36,45,42,47,40,36,46,36,36,35,30,41,33,46,56,63,668
Wilson,27,27,19,13,14,17,16,18,12,14,18,6,11,13,10,20,255
Wilsons Mills,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3
Windsor,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Winston-Salem,24,28,17,10,21,18,13,24,16,16,14,13,15,8,23,19,279
Winterville,1,0,0,0,0,2,0,0,0,1,1,0,0,3,1,2,11
Winton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Woodfin,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3
Woodland,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Wrightsville Beach,2,4,3,3,1,3,2,2,2,2,2,6,5,1,8,5,51
Yadkinville,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
Yanceyville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Zebulon,0,0,1,0,0,0,2,0,1,0,1,0,0,2,2,0,9
Total,"1,023","1,105","1,109",905,937,895,914,959,950,973,"1,030","1,042",829,966,"1,028","1,024","15,689"
