PBCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statewide Bicycle Crash Data - Crash Location by City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Years 1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Location by City,None - Rural,Aberdeen,Ahoskie,Alamance,Albemarle,Alliance,Andrews,Angier,Apex,Archdale,Asheboro,Asheville,Atkinson,Atlantic Beach,Ayden,Badin,Bailey,Bayboro,Beaufort,Belhaven,Belmont,Belville,Benson,Bermuda Run,Bessemer City,Bethel,Beulaville,Biltmore Forest,Biscoe,Black Creek,Black Mountain,Blowing Rock,Bogue,Boiling Spring,Boiling Springs,Bolton,Boone,Brevard,Bridgeton,Brunswick,Bryson City,Bunn,Burgaw,Burlington,Calabash,Canton,Carolina Beach,Carrboro,Carthage,Cary,Cedar Point,Chadbourn,Chapel Hill,Charlotte,Cherokee,Cherokee Reservation,Cherryville,China Grove,Chocowinity,Claremont,Clarkton,Clayton,Clemmons,Cleveland,Clinton,Clyde,Coats,Columbia,Columbus,Concord,Conetoe,Conover,Cornelius,Cove City,Cramerton,Creedmoor,Dallas,Davidson,Denton,Dobbins Heights,Dobson,Dover,Drexel,Duck,Dudley,Dunn,Durham,East Bend,East Laurinburg,East Spencer,Eastover,Eden,Edenton,Elizabeth City,Elizabethtown,Elkin,Ellerbe,Elm City,Elon College,Emerald Isle,Enfield,Erwin,Everetts,Fairmont,Fairview,Faith,Farmville,Fayetteville,Fletcher,Forest City,Fort Bragg,Franklin,Franklinton,Franklinville,Fremont,Fuquay-Varina,Garland,Garner,Garysburg,Gaston,Gastonia,Gibson,Gibsonville,Glen Alpine,Goldsboro,Goldston,Graham,Granite Falls,Granite Quarry,Grantsboro,Green Level,Greensboro,Greenville,Grifton,Grimesland,Halifax,Hamilton,Hamlet,Hampstead,Harmony,Harrisburg,Havelock,Haw River,Hayesville,Henderson,Hendersonville,Hertford,Hickory,High Point,High Shoals,Highlands,Hildebran,Hillsborough,Hoffman,Holly Ridge,Holly Springs,Hookerton,Hope Mills,Hot Springs,Hudson,Huntersville,Indian Trail,Jacksonville,Jamestown,Jamesville,Jefferson,Jonesville,Kannapolis,Kenansville,Kenly,Kernersville,Kill Devil,King,Kings Mountain,Kinston,Kittrell,Kitty Hawk,Knightdale,Kure Beach,La Grange,Lake Lure,Lake Waccamaw,Landis,Laurinburg,Leland,Lenoir,Lewisville,Lexington,Liberty,Lilesville,Lillington,Lincolnton,Littleton,Long Beach,Long View,Louisburg,Lowell,Lucama,Lumber Bridge,Lumberton,Macclesfield,Madison,Maiden,Manteo,Marietta,Marion,Marshville,Marvin,Matthews,Maxton,Maysville,Mcadenville,Mebane,Midland,Midway,Mills River,Mineral Springs,Mint Hill,Mocksville,Monroe,Montreat,Mooresville,Morehead City,Morganton,Morrisville,Morven,Mount Airy,Mount Holly,Mount Olive,Murfreesboro,Murphy,Nags Head,Navassa,New Bern,Newport,Newton,Newton Grove,North Wilkesboro,Norwood,Oak Island,Oak Ridge,Ocean Isle,Old Fort,Oriental,Oxford,Parkton,Patterson Springs,Peachland,Pembroke,Pfafftown,Pikeville,Pilot Mountain,Pine Knoll,Pinebluff,Pinehurst,Pinetops,Pineville,Pink Hill,Pittsboro,Pleasant Garden,Plymouth,Polkton,Pollocksville,Princeville,Proctorville,Raeford,Raleigh,Ramseur,Randleman,Red Springs,Reidsville,Rennert,Rhodhiss,Richfield,River Bend,Roanoke Rapids,Robbinsville,Rockingham,Rockwell,Rocky Mount,Rolesville,Roper,Rose Hill,Rowland,Roxboro,Roxobel,Rural Hall,Rutherford,Rutherfordton,Saint Pauls,Salisbury,Salter Path,Sanford,Saratoga,Scotland Neck,Seaboard,Selma,Shallotte,Sharpsburg,Shelby,Siler City,Sims,Smithfield,Snow Hill,Southern Pines,Southern Shores,Southport,Speed,Spencer,Spindale,Spring Hope,Spring Lake,Stallings,Stanfield,Stanley,Star,Statesville,Stedman,Stokesdale,Stoneville,Stonewall,Summerfield,Sunset Beach,Surf City,Swansboro,Swepsonville,Sylva,Tabor City,Tarboro,Thomasville,Tobaccoville,Trent Woods,Trinity,Troutman,Troy,Tryon,Turkey,Unionville,Valdese,Vanceboro,Vander,Vass,Wadesboro,Wake Forest,Walkertown,Wallace,Warrenton,Warsaw,Washington,Washington,Waxhaw,Waynesville,Weaverville,Weddington,Weldon,Wendell,Wentworth,Wesley Chapel,West Jefferson,Whitakers,White Lake,Whiteville,Whitsett,Wilkesboro,Williamston,Wilmington,Wilson,Wilsons Mills,Windsor,Winston-Salem,Winterville,Winton,Woodfin,Woodland,Wrightsville,Yadkinville,Yanceyville,Zebulon,Total
,Crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beach,,,,,,,,,,,Shores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,Beach,,,,
Intersection,745,2,5,0,20,0,2,6,23,1,28,133,1,0,7,0,0,1,14,2,14,0,8,0,1,0,1,1,0,1,4,0,0,2,2,0,26,4,2,2,3,2,3,40,0,1,12,38,1,146,0,8,144,801,1,1,2,0,0,1,0,1,7,1,7,1,1,4,0,40,1,6,3,1,1,1,3,7,1,1,2,1,0,10,0,30,276,0,2,2,1,21,8,50,7,0,0,0,4,16,16,3,0,0,0,0,12,188,1,8,1,0,1,1,0,5,0,14,1,0,86,2,1,1,51,1,9,3,2,0,1,369,112,0,2,0,1,4,0,1,2,12,2,1,14,21,2,55,138,0,0,0,2,0,1,9,0,5,0,1,22,9,55,2,1,1,1,45,1,2,7,21,0,5,96,0,12,9,1,1,1,0,2,21,1,15,5,29,0,1,1,3,1,0,3,4,1,1,0,50,0,2,1,3,0,5,2,2,17,3,1,1,0,0,1,0,0,3,1,32,0,23,31,13,13,1,5,7,13,0,0,15,0,23,1,7,0,2,2,16,1,1,1,1,7,0,1,0,7,1,0,0,1,1,10,4,9,2,0,0,4,1,1,1,1,0,601,3,2,0,18,0,1,2,2,28,0,6,0,193,2,1,2,5,5,1,2,0,1,1,37,0,40,1,3,1,4,1,3,26,10,2,22,0,19,4,3,0,1,2,2,6,2,1,4,1,49,1,0,0,0,2,3,1,1,0,3,2,20,11,1,2,2,3,4,0,0,0,1,0,0,0,6,0,0,3,1,1,35,1,2,4,1,5,3,3,0,2,1,0,0,11,0,0,10,316,127,0,0,130,6,1,1,1,24,1,1,2,"6,548"
Intersection-Related,69,1,0,0,2,0,0,0,2,0,1,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,9,0,0,3,2,0,5,0,1,6,43,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,6,0,0,0,0,0,1,0,1,0,0,0,0,2,20,0,1,0,0,0,0,0,1,0,0,0,0,7,0,3,0,1,0,0,1,0,0,0,29,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,0,0,1,0,0,0,0,0,0,1,1,0,7,0,0,0,0,4,0,0,0,1,1,0,9,0,3,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,49,0,0,3,2,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1,20,19,0,0,18,1,0,0,0,3,1,0,0,499
Non-Intersection,"3,009",1,9,1,14,2,3,3,18,1,33,105,0,6,4,1,1,3,2,1,9,1,3,1,2,1,1,0,1,0,3,1,2,0,1,1,43,4,1,0,2,0,1,54,1,0,6,43,1,59,1,7,83,690,0,1,2,2,0,0,1,2,6,1,15,0,0,2,2,31,0,4,6,0,2,0,3,5,1,0,2,0,1,9,2,19,172,1,0,0,1,13,6,39,3,1,4,1,1,15,10,3,1,2,1,1,2,213,1,5,1,0,1,0,1,7,1,18,4,0,79,0,2,0,37,0,8,0,0,4,1,254,86,3,2,2,0,5,1,0,1,23,2,0,3,28,0,45,86,1,1,1,3,1,0,9,1,10,1,1,17,6,94,1,0,0,0,36,0,3,9,24,4,7,63,1,15,2,2,2,0,1,3,23,8,25,8,15,1,0,0,3,0,1,4,3,0,1,0,46,1,1,2,3,1,2,0,2,15,8,1,0,1,4,2,2,3,7,1,17,1,23,29,8,11,1,4,10,7,1,3,17,1,11,7,7,1,6,5,10,2,1,0,0,8,1,5,1,3,0,1,1,2,0,6,0,4,0,4,2,10,1,0,1,0,3,404,3,1,3,14,0,1,0,0,22,1,9,2,150,0,3,2,0,4,0,1,1,0,0,22,1,15,0,2,0,6,3,2,19,11,1,37,3,13,3,1,1,3,4,1,13,2,1,2,0,46,0,1,1,1,4,5,0,2,1,2,3,24,10,3,1,2,3,7,2,1,3,2,1,1,1,2,1,2,4,0,4,42,0,3,3,2,3,3,1,1,6,0,1,1,16,0,3,6,301,95,3,2,117,3,0,2,1,24,1,0,7,"7,883"
Non-Roadway,102,0,0,0,0,0,1,0,2,0,2,8,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,9,0,0,0,4,0,22,0,3,8,96,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,35,0,0,0,0,1,2,0,1,0,0,0,2,0,4,1,0,0,0,0,0,23,1,1,0,1,0,0,0,1,0,3,0,0,9,0,0,0,4,0,1,0,0,0,0,31,10,0,0,0,0,1,0,0,1,0,0,0,1,5,0,5,10,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,2,0,1,1,2,0,3,11,0,0,1,0,0,0,0,0,5,1,4,0,1,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,9,2,1,0,2,1,1,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,61,0,0,1,0,1,0,0,1,2,0,0,0,16,0,0,0,0,1,0,0,0,1,0,3,0,2,0,0,0,1,0,0,3,0,0,8,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,30,11,0,0,14,1,0,0,0,0,0,0,0,704
Unknown Location,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,55
Total,"3,931",4,15,1,36,2,7,9,45,2,64,250,1,7,11,1,1,4,20,3,24,1,13,1,3,1,2,1,1,1,7,1,2,2,4,1,77,9,3,2,5,2,5,113,1,1,21,87,2,234,1,19,241,"1,630",1,2,4,2,1,1,1,5,15,2,24,1,1,6,2,79,1,11,9,1,3,1,6,12,2,1,4,1,1,20,2,51,503,1,2,2,2,37,17,99,11,1,4,1,7,32,30,8,1,2,1,1,16,445,3,15,2,1,2,1,1,15,1,35,5,1,182,2,6,1,93,1,18,4,2,4,2,685,224,3,4,2,1,10,1,1,4,36,4,1,18,58,2,108,245,1,1,1,6,1,1,19,1,15,1,3,40,15,175,3,1,1,1,88,1,6,17,49,5,16,179,1,30,12,3,4,1,1,5,52,10,45,14,46,1,1,1,6,1,2,7,7,1,2,1,106,1,4,3,6,1,7,2,4,36,11,2,1,1,4,3,2,3,11,2,53,1,51,71,23,26,2,13,18,21,3,3,33,1,38,8,15,1,8,7,27,3,4,1,1,20,1,6,1,11,1,1,1,3,1,16,4,14,2,4,3,17,2,1,3,1,4,"1,115",6,3,7,34,1,2,2,3,53,1,15,2,373,2,4,4,5,11,1,3,1,2,1,63,1,58,1,5,1,11,4,5,50,21,3,69,3,34,8,4,1,5,7,3,20,5,2,7,1,104,1,1,1,1,6,8,1,4,1,5,5,46,21,5,3,4,6,12,2,1,3,3,1,1,1,10,2,2,7,1,6,88,1,5,9,3,8,6,5,1,8,1,1,1,30,1,5,18,668,255,3,2,279,11,1,3,2,51,3,1,9,"15,689"
